UFCODE;MUNICODE;MUNINAME;VotesPT.2rnd;VotesPSL.2rnd;VotesNul.2rnd
BA;2904308;Brejões;5247;1550;419
BA;2904407;Brejolândia;3924;1221;225
BA;2904506;Brotas de Macaúbas;4502;1613;411
BA;2904605;Brumado;25911;12294;2629
BA;2904704;Buerarema;3803;4698;608
BA;2904753;Buritirama;8175;1958;392
BA;2904803;Caatiba;3030;1521;339
BA;2904852;Cabaceiras do Paraguaçu;7782;1214;499
BA;2904902;Cachoeira;14904;2874;920
BA;2905008;Caculé;8317;3692;776
BA;2905107;Caém;4839;695;327
BA;2905156;Caetanos;5974;573;231
BA;2905206;Caetité;23063;6006;1835
BA;2905305;Cafarnaum;7181;2123;524
BA;2905404;Cairu;6230;2661;728
BA;2905503;Caldeirão Grande;5852;774;327
BA;2905602;Camacan;7323;4265;824
BA;2905701;Camaçari;84052;45483;13142
BA;2905800;Camamu;9733;5178;1277
BA;2905909;Campo Alegre de Lourdes;13064;1542;497
BA;2906006;Campo Formoso;28718;8852;1994
BA;2906105;Canápolis;4796;1057;298
BA;2906204;Canarana;10898;2149;756
BA;2906303;Canavieiras;10644;5176;1049
BA;2906402;Candeal;4392;1028;295
BA;2906501;Candeias;39448;7101;3376
BA;2906600;Candiba;6489;1632;569
BA;2906709;Cândido Sales;10012;2888;709
BA;2906808;Cansanção;16747;1971;683
BA;2906824;Canudos;7222;1142;406
BA;2906857;Capela do Alto Alegre;4610;1478;490
BA;2906873;Capim Grosso;10375;4900;1210
BA;2906899;Caraíbas;4323;1167;294
BA;2906907;Caravelas;6443;2690;597
BA;2907004;Cardeal da Silva;4410;448;322
BA;2907103;Carinhanha;10147;4264;714
BA;2907202;Casa Nova;32131;6359;2016
BA;2907301;Castro Alves;13090;2156;845
BA;2907400;Catolândia;2118;511;97
BA;2907509;Catu;22901;5989;3023
BA;2907558;Caturama;4403;673;239
BA;2907608;Central;7630;1808;437
BA;2907707;Chorrochó;5341;798;232
BA;2907806;Cícero Dantas;14002;3724;922
BA;2907905;Cipó;6361;2402;674
BA;2908002;Coaraci;7163;3523;771
BA;2908101;Cocos;7742;3180;421
BA;2908200;Conceição da Feira;9922;2533;1023
BA;2908309;Conceição do Almeida;8718;1608;472
BA;2908408;Conceição do Coité;24197;13094;2665
BA;2908507;Conceição do Jacuípe;12952;4475;1564
BA;2908606;Conde;9353;2235;664
BA;2908705;Condeúba;6823;2788;769
BA;2908804;Contendas do Sincorá;2099;541;179
BA;2908903;Coração de Maria;12511;2490;970
BA;2909000;Cordeiros;2914;1552;321
BA;2909109;Coribe;6538;1784;355
BA;2909208;Coronel João Sá;8211;1130;365
BA;2909307;Correntina;13658;3753;1067
BA;2909406;Cotegipe;6312;1259;222
BA;2909505;Cravolândia;2251;416;220
BA;2909604;Crisópolis;9384;1515;454
BA;2909703;Cristópolis;6381;1712;441
BA;2909802;Cruz das Almas;25147;10681;2495
BA;2909901;Curaçá;15160;2484;857
BA;2910008;Dário Meira;4273;865;368
BA;2910057;Dias d'Ávila;26227;8750;3027
BA;2910107;Dom Basílio;6708;805;336
BA;2910206;Dom Macedo Costa;2162;738;214
BA;2910305;Elísio Medrado;3684;980;338
BA;2910404;Encruzilhada;7657;2368;624
BA;2910503;Entre Rios;16995;3797;1673
BA;2910602;Esplanada;13746;3320;1149
BA;2910701;Euclides da Cunha;25434;4674;1329
BA;2910727;Eunápolis;29184;28502;4035
BA;2910750;Fátima;9416;1204;426
BA;2910776;Feira da Mata;2192;1145;108
BA;2910800;Feira de Santana;194826;115156;27973
BA;2910859;Filadélfia;7417;1959;554
BA;2910909;Firmino Alves;2258;836;196
BA;2911006;Floresta Azul;3691;1253;349
BA;2911105;Formosa do Rio Preto;8943;3281;512
BA;2911204;Gandu;9436;5526;1172
BA;2911253;Gavião;2108;785;176
BA;2911303;Gentio do Ouro;5661;1020;197
BA;2911402;Glória;8662;894;359
BA;2911501;Gongogi;2629;505;186
BA;2911600;Governador Mangabeira;9480;2490;654
BA;2911659;Guajeru;3851;560;189
BA;2911709;Guanambi;32336;15405;3208
BA;2911808;Guaratinga;7054;2484;654
BA;2911857;Heliópolis;7429;913;247
BA;2911907;Iaçu;11236;2169;763
BA;2912004;Ibiassucê;4198;1813;346
BA;2912103;Ibicaraí;7615;4587;778
BA;2912202;Ibicoara;6576;2544;797
BA;2912301;Ibicuí;5354;1773;442
BA;2912400;Ibipeba;8410;1122;470
BA;2912509;Ibipitanga;6328;1711;411
BA;2912608;Ibiquera;1777;268;122
BA;2912707;Ibirapitanga;7291;2236;693
BA;2912806;Ibirapuã;2475;2191;221
BA;2912905;Ibirataia;6796;3264;786
BA;2913002;Ibitiara;5962;2019;543
BA;2913101;Ibititá;9149;1371;382
BA;2913200;Ibotirama;9651;4085;572
BA;2913309;Ichu;3265;773;261
BA;2913408;Igaporã;7844;997;427
BA;2913457;Igrapiúna;4674;1250;414
BA;2913507;Iguaí;8184;3490;777
BA;2913606;Ilhéus;54505;35315;7662
BA;2913705;Inhambupe;14299;3496;1256
BA;2913804;Ipecaetá;8417;1435;528
BA;2913903;Ipiaú;14489;6627;1686
BA;2914000;Ipirá;26759;5709;2586
BA;2914109;Ipupiara;4059;1511;268
BA;2914208;Irajuba;3055;618;211
BA;2914307;Iramaia;4202;1138;338
BA;2914406;Iraquara;11729;968;462
BA;2914505;Irará;13492;2698;1024
BA;2914604;Irecê;25824;9137;2071
BA;2914653;Itabela;9637;4654;933
BA;2914703;Itaberaba;22358;7473;2479
BA;2914802;Itabuna;53396;50668;8163
BA;2914901;Itacaré;7618;2371;588
BA;2915007;Itaeté;5405;1679;358
BA;2915106;Itagi;4868;1875;535
BA;2915205;Itagibá;5367;2136;536
BA;2915304;Itagimirim;2603;1372;267
BA;2915353;Itaguaçu da Bahia;6050;736;212
BA;2915403;Itaju do Colônia;1767;1398;176
BA;2915502;Itajuípe;7686;3474;752
BA;2915601;Itamaraju;16393;13312;1735
BA;2915700;Itamari;2957;1097;331
BA;2915809;Itambé;8003;3317;646
BA;2915908;Itanagra;3217;491;180
BA;2916005;Itanhém;6182;3911;670
BA;2916104;Itaparica;10223;2363;892
BA;2916203;Itapé;4073;1998;418
BA;2916302;Itapebi;4032;1247;282
BA;2916401;Itapetinga;14784;17138;2247
BA;2916500;Itapicuru;13503;1549;819
BA;2916609;Itapitanga;2870;1011;214
BA;2916708;Itaquara;3274;1122;279
BA;2916807;Itarantim;5406;3656;568
BA;2916856;Itatim;5934;2019;596
BA;2916906;Itiruçu;4337;1622;507
BA;2917003;Itiúba;13970;4548;1080
BA;2917102;Itororó;6523;3620;814
BA;2917201;Ituaçu;7430;3045;837
BA;2917300;Ituberá;8178;3786;924
BA;2917334;Iuiú;4823;946;257
BA;2917359;Jaborandi;4627;1252;320
BA;2917409;Jacaraci;6223;1581;468
BA;2917508;Jacobina;31586;9815;2789
BA;2917607;Jaguaquara;15962;6871;2341
BA;2917706;Jaguarari;12539;3532;942
BA;2917805;Jaguaripe;8024;1221;576
BA;2917904;Jandaíra;4441;755;282
BA;2918001;Jequié;54000;27012;7739
BA;2918100;Jeremoabo;16180;2675;799
BA;2918209;Jiquiriçá;5522;1469;499
BA;2918308;Jitaúna;5783;1969;675
BA;2918357;João Dourado;8736;3697;617
BA;2918407;Juazeiro;79982;34740;6379
BA;2918456;Jucuruçu;3875;1190;281
BA;2918506;Jussara;7998;592;349
BA;2918555;Jussari;1898;1102;129
BA;2918605;Jussiape;3387;1016;349
BA;2918704;Lafaiete Coutinho;2359;391;181
BA;2918753;Lagoa Real;6647;792;340
BA;2918803;Laje;9992;3294;1002
BA;2918902;Lajedão;1733;1186;108
BA;2919009;Lajedinho;1938;309;124
