microcode;ufname;microname;brancos02;nulos02;uteis02;pt02;psdb02;brancos06;nulos06;uteis06;pt06;psdb06;brancos10;nulos10;pt10;uteis10;brancos14;nulos14;pt14;uteis14;brancos18;nulos18;pt18;novo18;mdb18;psl18;uteis18
22015;PI;Alto Médio Canindé;4848;24393;114119;49034;53030;3768;16606;137913;100418;27159;4033;19677;109123;136266;2743;11575;122778;152616;2665;12043;124040;554;1362;15235;165148
23001;CE;Litoral de Camocim e Acaraú;5705;17033;132929;32269;58164;3380;15959;166413;117454;30785;4894;18353;127544;172533;5675;13765;143482;194589;5097;10033;82675;476;1333;34974;209658
23002;CE;Ibiapaba;4067;15444;113031;21079;62027;3601;15382;135395;85856;38866;4449;15414;94601;139467;5098;12705;114596;152248;4432;9316;54668;341;1287;27796;168063
23003;CE;Coreaú;1150;3568;24472;4882;11630;695;3738;27798;19839;4654;832;3701;21181;29512;800;2792;24661;33208;801;1571;13691;55;231;4940;36805
23004;CE;Meruoca;312;1116;10593;1240;2393;296;1436;12439;9763;1472;456;1367;9674;12333;545;1060;10596;13909;492;662;3972;18;75;1467;15294
23005;CE;Sobral;5735;16297;156363;25149;39690;5182;17708;181174;132701;27424;9686;19452;138814;190170;9469;15250;149073;209423;7268;11117;56886;456;1592;37894;227093
23006;CE;Ipu;2171;8096;57733;11004;25752;1472;7961;65979;51639;9902;1875;7943;51163;65518;1806;5748;55563;70789;1460;3439;25753;131;497;9364;75838
23007;CE;Santa Quitéria;1051;4144;30667;4426;8587;676;3502;36757;26596;6898;1021;3491;28200;37184;849;2374;30735;39622;695;1294;12543;45;216;4291;42090
23008;CE;Itapipoca;2208;6797;76989;22516;22686;1693;8311;92613;72435;12652;2570;8648;76137;102326;2763;6375;85673;114092;2012;4618;55933;209;464;16757;125040
23009;CE;Baixo Curu;1130;4337;43426;10490;16695;1042;4164;52789;39912;7392;1646;5234;37996;57790;2203;4239;46086;65676;1603;4269;26477;187;442;17360;73765
23010;CE;Uruburetama;1656;4931;44242;11955;14224;1300;4609;53328;42321;6847;1836;4895;42156;56438;1876;3834;46446;61113;1326;2967;24761;65;368;11397;64128
23011;CE;Médio Curu;1064;4128;39684;12171;11657;742;4063;48454;37685;6295;1257;4772;38347;51130;1343;3356;43553;56336;940;2636;27135;92;376;8292;59629
23012;CE;Canindé;1611;7399;46243;13034;15337;1059;6401;58187;42677;10207;1325;6342;49552;62378;1423;4585;57459;69241;1298;3046;35933;116;390;8746;75015
23013;CE;Baturité;3498;11373;85609;36215;25973;2609;10162;99051;77182;13996;3558;10262;78903;106471;3766;8019;89598;116277;2849;5542;54477;183;666;17782;120928
23014;CE;Chorozinho;800;3312;29445;7800;10329;730;3340;35568;26481;5159;1054;3711;28362;37985;1291;2790;31735;42386;1058;2154;17485;72;293;8191;44111
23015;CE;Cascavel;2080;5564;54828;17850;16346;1853;6029;66572;45867;12766;3168;6331;49666;72638;3185;5350;57157;80027;2253;5970;28590;170;412;16814;83495
23016;CE;Fortaleza;22627;57410;1329993;706786;165711;34343;87469;1513515;1061274;258453;52697;94093;886421;1615977;48498;83584;946414;1120693;43164;104613;427949;17251;9666;610414;1863399
23017;CE;Pacajus;1312;3913;34973;11590;8514;1270;3373;47421;35521;6648;2313;4485;42941;60711;3343;4439;48925;71515;2141;5421;23634;230;410;20346;78395
23018;CE;Sertão de Cratéus;4429;14840;107857;34937;44422;3219;12976;123378;82551;29940;4644;14442;87085;116896;3392;11133;98176;125290;2987;6223;65134;161;929;18039;136136
23019;CE;Sertão de Quixeramobim;3800;12253;106088;41816;38020;2438;10790;125940;89344;25175;3780;11936;95699;131771;3795;9350;111892;143323;3109;7071;66696;306;654;21030;151444
23020;CE;Sertão de Inhamuns;2190;8353;59921;12420;25352;1688;8280;68851;48322;14735;2201;9424;52153;69289;2212;6922;48968;71821;1680;4361;28487;152;570;11601;75580
23021;CE;Sertão de Senador Pompeu;4654;17731;91651;28153;46933;2922;12831;107578;75976;20494;3724;13657;82672;105948;2790;9881;95851;115558;2666;6191;55899;152;726;10874;118137
23022;CE;Litoral de Aracati;1517;4543;46952;23714;11440;1852;3540;57300;38155;14456;2496;4086;42715;61232;2741;3402;46552;65563;1828;3087;25507;161;311;14607;68910
23023;CE;Baixo Jaguaribe;6565;14777;147612;58609;37498;5195;13225;169684;129188;23041;7606;15362;133149;175292;7101;12470;140046;189851;4861;11000;67863;462;792;32518;196133
23024;CE;Médio Jaguaribe;1357;3910;29727;8291;11243;727;3113;34008;26631;4364;1221;3555;26620;33755;896;2442;29557;36285;714;1818;15164;76;182;4266;37519
23025;CE;Serra do Pereiro;638;2210;19665;3792;10859;328;2135;22023;16125;4401;542;2492;17471;22445;437;1667;19932;24293;416;1057;9520;40;154;2486;25731
23026;CE;Iguatu;3841;11747;99789;33925;45398;2476;10989;113484;87152;16559;3739;12458;88372;111759;3347;9528;93311;118767;2756;5949;53879;280;827;15633;124254
23027;CE;Várzea Alegre;2238;6782;41122;12216;21733;1528;5551;49308;35232;9746;1872;6081;37524;48718;1618;4376;39603;52619;1405;2746;24972;110;457;5872;56029
23028;CE;Lavras da Mangabeira;992;4335;25850;8790;10915;724;3341;28843;21561;5048;928;4127;21583;27477;664;2513;25412;30377;570;1372;15083;50;262;3049;31699
23029;CE;Chapada do Araripe;1366;6602;37085;6310;23823;1061;5948;45317;31784;9056;1378;6355;36670;45529;1112;3810;41262;50044;969;2401;25207;53;416;3825;52854
23030;CE;Caririaçu;1020;4054;26202;5756;17325;787;3562;30943;19268;9436;996;3995;22771;30836;810;2928;26520;34266;685;1609;15721;46;225;3379;37005
23031;CE;Barro;1587;5632;38904;13283;17647;980;4658;44358;30588;10664;1072;4777;34196;45947;1100;3504;36693;48875;1046;2426;26035;98;349;5365;51100
23032;CE;Cariri;6487;21787;205477;90902;85764;5224;20643;240991;157405;60702;8461;24078;161204;250614;8582;18991;206430;277730;6006;14157;122701;837;1805;45103;297528
23033;CE;Brejo Santo;1253;5232;43252;19969;17522;799;4990;50039;38410;7757;1068;5240;41909;50442;1078;3859;45701;54504;1294;2540;26062;117;525;6603;57350
24001;RN;Mossoró;5578;15371;130317;66428;40382;6086;13341;152949;97232;39349;8984;14635;77123;158148;11115;24508;87990;155650;4892;14537;57936;1342;608;57407;175527
24002;RN;Chapada do Apodi;2660;6158;35029;16395;15860;1670;4517;43364;33061;8137;2613;4481;31840;43856;1947;3897;36930;46459;1250;2808;24143;220;293;8018;48416
24003;RN;Médio Oeste;732;2814;15274;5807;7420;527;1914;18677;13657;3357;902;2027;12103;18832;1029;2192;18226;25733;654;1600;13835;107;114;6238;27105
24004;RN;Vale do Açu;3224;11002;62419;27830;26197;1945;8029;78663;54740;18144;3146;9027;55736;81432;3983;7767;59856;85001;1856;5360;48489;504;461;15269;87776
24005;RN;Serra de São Miguel;1428;7182;26554;7520;15868;970;5457;32705;27410;3520;1269;5437;26135;32470;1220;4094;27770;33891;811;2653;21400;83;245;3360;36017
24006;RN;Pau dos Ferros;1934;10796;55735;19686;28541;1509;8389;64810;49241;11032;2060;8519;49440;66670;2085;6666;52948;69370;1094;4039;40733;183;347;10107;71361
24007;RN;Umarizal;1568;6640;34575;11675;18996;1278;4718;40059;30339;7665;1542;4802;28645;39969;1552;3549;30960;40728;868;2403;24505;192;201;6567;42403
24008;RN;Macau;997;3504;25523;11872;9632;839;2888;31732;21110;8289;1330;2860;17600;30250;1587;2603;21323;32440;763;1946;17172;137;190;6648;34129
24009;RN;Angicos;1064;5828;28018;9649;15068;736;3734;33142;19612;10984;1038;3897;18736;32378;1117;3141;23609;33707;647;2023;17349;181;257;7153;34431
24010;RN;Serra de Santana;1387;6175;28666;7558;17952;1022;4327;34772;22094;9927;1312;4494;21240;34978;1449;3690;25509;36938;868;3140;20758;218;195;6419;38143
24011;RN;Seridó Ocidental;1692;4932;48037;26329;16610;1433;4191;54518;34579;14844;2384;4538;34546;54203;2460;4758;35615;54320;1290;3935;20135;408;297;13381;54417
24012;RN;Seridó Oriental;2876;8610;59645;23058;30067;2098;6560;68725;41010;21617;3651;7305;35939;68659;3301;8546;39828;66948;1838;6772;22487;560;440;20689;67993
24013;RN;Baixa Verde;1776;5662;26598;11673;12203;893;3785;33227;21426;9356;1699;3970;20845;33771;1711;3296;25850;36237;912;2208;22658;114;195;7446;37333
