Abrangência;Cargo;Sexo;Qt Candidatos;Eleito;2º Turno;Não Eleito
ALTO BOA VISTA;Vereador;Masculino;18;8;0;10
ALTO BOA VISTA;Vereador;Feminino;9;1;0;8
ALTO CAPARAÓ;Vereador;Masculino;32;8;0;24
ALTO CAPARAÓ;Vereador;Feminino;21;1;0;20
ALTO DO RODRIGUES;Vereador;Masculino;21;7;0;14
ALTO DO RODRIGUES;Vereador;Feminino;13;2;0;11
ALTO FELIZ;Vereador;Masculino;19;5;0;14
ALTO FELIZ;Vereador;Feminino;10;4;0;6
ALTO GARÇAS;Vereador;Masculino;24;8;0;16
ALTO GARÇAS;Vereador;Feminino;13;1;0;12
ALTO HORIZONTE;Vereador;Masculino;28;5;0;23
ALTO HORIZONTE;Vereador;Feminino;17;4;0;13
ALTO JEQUITIBÁ;Vereador;Masculino;32;6;0;26
ALTO JEQUITIBÁ;Vereador;Feminino;16;3;0;13
ALTO LONGÁ;Vereador;Masculino;30;9;0;21
ALTO LONGÁ;Vereador;Feminino;14;0;0;14
ALTO PARAGUAI;Vereador;Masculino;36;8;0;28
ALTO PARAGUAI;Vereador;Feminino;16;1;0;15
ALTO PARAÍSO;Vereador;Masculino;73;17;0;56
ALTO PARAÍSO;Vereador;Feminino;38;3;0;35
ALTO PARAÍSO DE GOIÁS;Vereador;Masculino;37;8;0;29
ALTO PARAÍSO DE GOIÁS;Vereador;Feminino;13;1;0;12
ALTO PARANÁ;Vereador;Masculino;33;6;0;27
ALTO PARANÁ;Vereador;Feminino;16;3;0;13
ALTO PARNAÍBA;Vereador;Masculino;45;8;0;37
ALTO PARNAÍBA;Vereador;Feminino;23;1;0;22
ALTO PIQUIRI;Vereador;Masculino;39;9;0;30
ALTO PIQUIRI;Vereador;Feminino;16;0;0;16
ALTO RIO DOCE;Vereador;Masculino;48;8;0;40
ALTO RIO DOCE;Vereador;Feminino;24;1;0;23
ALTO RIO NOVO;Vereador;Masculino;30;6;0;24
ALTO RIO NOVO;Vereador;Feminino;16;3;0;13
ALTO SANTO;Vereador;Masculino;30;8;0;22
ALTO SANTO;Vereador;Feminino;14;3;0;11
